DATE;HOLIDAY
2017-01-01;New Year's Day
2017-04-14;Good Friday
2017-04-16;Easter
2017-04-17;Easter Monday
2017-05-01;Labor Day / May Day
2017-05-25;Ascension Day
2017-06-04;Whit Sunday
2017-06-05;Whit Monday
2017-07-21;Belgian National Day
2017-08-15;Assumption of Mary
2017-11-01;All Saints' Day
2017-11-11;Armistice Day
2017-12-25;Christmas
2018-01-01;New Year's Day
2018-03-30;Good Friday
2018-04-01;Easter
2018-04-02;Easter Monday
2018-05-01;Labor Day / May Day
2018-05-10;Ascension Day
2018-05-20;Whit Sunday
2018-05-21;Whit Monday
2018-07-21;Belgian National Day
2018-08-15;Assumption of Mary
2018-11-01;All Saints' Day
2018-11-11;Armistice Day
2018-12-25;Christmas
2019-01-01;New Year's Day
2019-04-19;Good Friday
2019-04-21;Easter
2019-04-22;Easter Monday
2019-05-01;Labor Day / May Day
2019-05-30;Ascension Day
2019-06-09;Whit Sunday
2019-06-10;Whit Monday
2019-07-21;Belgian National Day
2019-08-15;Assumption of Mary
2019-11-01;All Saints' Day
2019-11-11;Armistice Day
2019-12-25;Christmas
2020-01-01;New Year's Day
2020-04-10;Good Friday
2020-04-12;Easter
2020-04-13;Easter Monday
2020-05-01;Labor Day / May Day
2020-05-21;Ascension Day
2020-05-31;Whit Sunday
2020-06-01;Whit Monday
2020-07-21;Belgian National Day
2020-08-15;Assumption of Mary
2020-11-01;All Saints' Day
2020-11-11;Armistice Day
2020-12-25;Christmas
